sample_ID,sample_num,Mean_R1,Mean_R2,Mean_R3,quant_reading,Sample_or_Control
S16_B,S16,11,14.65,14.9,13.52,True Sample
S16_S,S16,7.285,9.48,10.35,9.04,True Sample
S17_B,S17,14.3,11.8,12.8,12.97,True Sample
S17_S,S17,5.25,5.275,7.305,5.94,True Sample
S18_B,S18,NA,11.85,14.75,13.3,True Sample
S18_S,S18,7.67,6.11,7.24,7.01,True Sample
S19_B,S19,14.1,14.65,17.45,15.4,True Sample
S19_S,S19,7.435,10.4,9.57,9.14,True Sample
S2_B,S2,12.1,16.35,13.8,14.08,True Sample
S2_S,S2,7.685,7.445,6.57,7.23,True Sample
S20_B,S20,10.7,14.4,14.9,13.33,True Sample
S20_S,S20,7.06,4.805,10.045,7.3,True Sample
S21_B,S21,6.38,12.45,13.2,10.68,True Sample
S21_S,S21,3.875,6.14,7.08,5.7,True Sample
S22_B,S22,13.2,16.4,10.35,13.32,True Sample
S22_S,S22,8.61,8.18,11.5,9.43,True Sample
S23_B,S23,6.625,14.35,15.25,12.08,True Sample
S23_S,S23,5.555,10.55,11.85,9.32,True Sample
S24_B,S24,13.35,14.2,16.3,14.62,True Sample
S24_S,S24,6.015,8.22,8.95,7.73,True Sample
S25_B,S25,8.415,15.5,20.55,14.82,True Sample
S25_S,S25,11.8,9.69,9.86,10.45,True Sample
S26_B,S26,13.95,7.73,14.7,12.13,True Sample
S26_S,S26,9.015,9.98,11.9,10.3,True Sample
S27_B,S27,9.165,10.8,14.35,11.44,True Sample
S27_S,S27,8.095,7.535,9.335,8.32,True Sample
S28_B,S28,10.45,12.05,13.5,12,True Sample
S28_S,S28,7.74,8.185,10.65,8.86,True Sample
S29_B,S29,13.45,12.9,15.45,13.93,True Sample
S29_S,S29,10.9,12.4,12.55,11.95,True Sample
S3_B,S3,10.65,18.2,13.95,14.27,True Sample
S3_S,S3,2.015,10.35,10.4,7.59,True Sample
S30_B,S30,11.9,13.2,17.45,14.18,True Sample
S30_S,S30,9.995,8.965,11.2,10.05,True Sample
S31_B,S31,14.3,16.65,17.45,16.13,True Sample
S31_S,S31,6.63,6.605,4.79,6.01,True Sample
S32_B,S32,17.65,13.7,14.1,15.15,True Sample
S32_S,S32,5.685,8.27,6.615,6.86,True Sample
S33_B,S33,12.35,13,15.35,13.57,True Sample
S33_S,S33,3.865,7.82,8.785,6.82,True Sample
S34_B,S34,13.65,10.7,14.8,13.05,True Sample
S34_S,S34,6.585,7.615,6.07,6.76,True Sample
S35_B,S35,19.35,12.95,15.55,15.95,True Sample
S35_S,S35,4.935,11.45,12.4,9.6,True Sample
S36_B,S36,12.85,13.4,13.75,13.33,True Sample
S36_S,S36,3.115,6.59,5.385,5.03,True Sample
S37_B,S37,11.1,17.8,15.95,14.95,True Sample
S37_S,S37,3.945,17.25,14.15,11.78,True Sample
S38_B,S38,14.9,10.15,15.35,13.47,True Sample
S38_S,S38,6,6.605,7.895,6.83,True Sample
S39_B,S39,13.35,13.5,17.05,14.63,True Sample
S39_S,S39,3.93,11.35,7.815,7.7,True Sample
S4_B,S4,13.25,14.15,14.3,13.9,True Sample
S4_S,S4,7.77,6.445,9.775,8,True Sample
S40_B,S40,6.805,12.9,15.6,11.77,True Sample
S40_S,S40,8.315,10.07,11.25,9.88,True Sample
S41_B,S41,13.55,13.45,16.3,14.43,True Sample
